xPair,darkrgb,darkcolorIndex,lightrgb,lightcolorIndex,diffLighting,lightL,lightA,lightB,darkL,darkA,darkB,lightAssoc,darkAssoc,diffRating
1,#3518ad,1,#2f6ef6,0,25,50,28.891,-73.589,25,53.857,-72.28,0.045657895,0.052171053,-0.006513158
10,#2f6ef6,0,#39f6e0,20,38,88,-49.931,-2.6168,50,28.891,-73.589,0.136118421,0.045657895,0.090460526
100,#3518ad,1,#d0e942,67,63,88,-28.891,73.589,25,53.857,-72.28,0.516184211,0.052171053,0.464013158
1000,#e6a8b7,32,#a2eade,23,13,88,-24.966,-1.3084,75,24.966,1.3084,0.178092105,0.171118421,0.006973684
1001,#c34f74,33,#a2eade,23,38,88,-24.966,-1.3084,50,49.931,2.6168,0.178092105,0.178026316,6.58E-05
1002,#e31b73,34,#a2eade,23,38,88,-24.966,-1.3084,50,74.897,3.9252,0.178092105,0.101513158,0.076578947
1003,#4bcf8e,35,#a2eade,23,13,88,-24.966,-1.3084,75,-51.24,22.349,0.178092105,0.521907895,-0.343815789
1004,#184415,37,#a2eade,23,63,88,-24.966,-1.3084,25,-26.274,23.657,0.178092105,0.957763158,-0.779671053
1005,#55824d,38,#a2eade,23,38,88,-24.966,-1.3084,50,-26.274,23.657,0.178092105,0.818026316,-0.639934211
1006,#96c58c,39,#a2eade,23,13,88,-24.966,-1.3084,75,-26.274,23.657,0.178092105,0.555789474,-0.377697368
1007,#443b14,41,#a2eade,23,63,88,-24.966,-1.3084,25,-1.3084,24.966,0.178092105,0.653355263,-0.475263158
1008,#83764c,42,#a2eade,23,38,88,-24.966,-1.3084,50,-1.3084,24.966,0.178092105,0.527236842,-0.349144737
1009,#c7b88b,43,#a2eade,23,13,88,-24.966,-1.3084,75,-1.3084,24.966,0.178092105,0.295131579,-0.117039474
101,#3518ad,1,#d5b811,68,50,75,-3.9252,74.897,25,53.857,-72.28,0.521578947,0.052171053,0.469407895
1010,#632b14,45,#a2eade,23,63,88,-24.966,-1.3084,25,23.657,26.274,0.178092105,0.510394737,-0.332302632
1011,#a8664b,46,#a2eade,23,38,88,-24.966,-1.3084,50,23.657,26.274,0.178092105,0.4825,-0.304407895
1012,#f1a78a,47,#a2eade,23,13,88,-24.966,-1.3084,75,23.657,26.274,0.178092105,0.196644737,-0.018552632
